Company,City,employee_as_of,Remote_Flag,years_at_company,years_of_exp,total_comp,base_salary,stock_rsu_comp,annual_target_bonus
Citi,"Jersey City, NJ",Employee as of 11/26/2022,Hybrid,1 yrs,7 yrs,"$125,000","$125,000",--,--
Turnberry Solutions,"Minneapolis, MN",Employee as of 11/26/2022,Office,1 yr,1 yr,"$70,000","$70,000",--,--
Virtusa,"Dallas, TX",Employee as of 11/25/2022,Remote,11 yrs,14 yrs,"$125,000","$120,000",--,"$5,000"
General Motors,"Detroit, MI",Employee as of 11/25/2022,Remote,2 yrs,3 yrs,"$77,250","$77,250",--,--
Walmart,"San Bruno, CA",Employee as of 11/25/2022,Hybrid,1 yrs,7 yrs,"$232,000","$160,000","$40,000","$32,000"
IHS Markit,"Los Angeles, CA",Employee as of 11/25/2022,Office,1 yr,1 yr,"$100,000","$100,000",--,--
Costco Wholesale,Seattle,Employee as of 11/24/2022,Hybrid,2-4 yrs,11+ yrs,"$126,000","$126,000",--,--
Meecer,"New York, NY",Employee as of 11/24/2022,Office,2 yrs,3 yrs,"$90,000","$90,000",--,--
National Institutes of Health,"Rockville, MD",Employee as of 11/23/2022,Remote,2 yrs,2 yrs,"$75,000","$75,000",--,--
hidden,"Redwood City, CA",Employee as of 11/23/2022,Hybrid,5-10 yrs,5-10 yrs,"$253,750","$126,000","$127,750",--
Google,"San Francisco, CA",Employee as of 11/23/2022,Office,1 yrs,13 yrs,"$278,500","$185,000","$65,000","$28,500"
hidden,"Vacaville, CA",Employee as of 11/23/2022,Remote,2 yrs,2 yrs,"$81,000","$81,000",--,--
T. Rowe Price,"Owings Mills, MD",Employee as of 11/23/2022,Hybrid,8 yrs,12 yrs,"$137,000","$125,000",--,"$12,000"
Intercom,"San Francisco, CA",Employee as of 11/23/2022,Office,0-1 yrs,5-10 yrs,"$170,000","$170,000",--,--
Staples,"Framingham, MA",Employee as of 11/23/2022,Hybrid,3 yrs,5 yrs,"$84,975","$77,250",--,"$7,725"
Avnet,"Phoenix, AZ",Employee as of 11/22/2022,Hybrid,0 yr,1 yr,"$70,000","$70,000",--,--
Uber,"San Francisco, CA",Employee as of 11/22/2022,Office,0 yr,1 yr,"$100,000","$100,000",--,--
hidden,"San Francisco, CA",Employee as of 11/22/2022,Hybrid,3 yrs,5 yrs,"$98,000","$98,000",--,--
Westchester Medical Center,"New York, NY",Employee as of 11/22/2022,Office,1 yr,1 yr,"$70,000","$70,000",--,--
UC San Diego,"San Diego, CA",Employee as of 11/22/2022,Office,1 yrs,3 yrs,"$80,000","$80,000",--,--
hidden,"Pleasant Prairie, WI",Employee as of 11/22/2022,Office,5-10 yrs,5-10 yrs,"$67,166","$52,166",--,"$15,000"
Raytheon,"Los Angeles, CA",Employee as of 11/21/2022,Remote,4 yrs,4 yrs,"$88,000","$88,000",--,--
Convoy,"Seattle, WA",Employee as of 11/21/2022,Office,1 yrs,7 yrs,"$120,000","$120,000",--,--
Fanatics,"Jacksonville, FL",Employee as of 11/21/2022,Hybrid,1 yrs,2 yrs,"$84,000","$80,000",--,"$4,000"
Facebook,"Los Angeles, CA",Employee as of 11/21/2022,Remote,1 yrs,5 yrs,"$161,000","$110,000","$40,000","$11,000"
Amazon,"Arlington, VA",Employee as of 11/21/2022,Hybrid,1 yrs,8 yrs,"$150,000","$115,000",--,"$35,000"
JPMorgan Chase,"Columbus, OH",Offer from 11/21/2022,Office,0 yrs,0 yrs,"$65,625","$65,000",--,$625
Cherry,"Boulder, CO",Offer from 11/21/2022,Remote,0 yrs,3 yrs,"$174,000","$155,000","$9,000",y1
Level Ex,"Atlanta, GA",Employee as of 11/21/2022,Remote,2 yrs,3 yrs,"$90,000","$90,000",--,--
JPMorgan Chase,"Chandler, AZ",Employee as of 11/21/2022,Hybrid,5 yrs,5 yrs,"$80,500","$77,700",--,"$2,800"
Indeed,"Seattle, WA",Employee as of 11/21/2022,Office,5 yrs,7 yrs,"$255,000","$160,000","$40,000","$25,000"
CGI,"Fairfax, VA",Employee as of 11/21/2022,Hybrid,2 yrs,2 yrs,"$73,000","$73,000",--,--
FIS,"Cincinnati, OH",Employee as of 11/21/2022,Hybrid,1 yr,1 yr,"$60,000","$60,000",--,--
NCR,"Atlanta, GA",Offer from 11/21/2022,Hybrid,0 yrs,0 yrs,"$75,625","$75,000",--,$625
Cambridge Associates,"Washington, DC",Employee as of 11/21/2022,Office,5 yrs,5 yrs,"$75,000","$75,000",--,--
The New York Times Company,"New York, NY",Employee as of 11/21/2022,Hybrid,3 yrs,6 yrs,"$205,000","$130,000","$55,000","$20,000"
Samsung,"Austin, TX",Employee as of 11/21/2022,Hybrid,1 yrs,7 yrs,"$135,000","$120,000",--,"$15,000"
PayPal,"San Jose, CA",Employee as of 11/21/2022,Office,2 yrs,8 yrs,"$194,000","$144,000","$50,000",--
LTI,"Tampa, FL",Employee as of 11/21/2022,Hybrid,3 yrs,15 yrs,"$130,000","$130,000",--,--
Capital One,"West McLean, VA",Offer from 11/20/2022,Hybrid,0 yr,1 yr,"$125,375","$114,000",--,"$11,375"
hidden,"Boston, MA",Employee as of 11/20/2022,Remote,2-4 yrs,2-4 yrs,"$120,000","$120,000",--,--
New York Life Insurance,"Dallas, TX",Employee as of 11/19/2022,Office,0 yrs,0 yrs,"$63,000","$60,000",--,"$3,000"
Capital One,"West McLean, VA",Employee as of 11/19/2022,Hybrid,3 yrs,5 yrs,"$164,000","$151,000",--,"$13,000"
Target,"New York, NY",Offer from 11/19/2022,Office,0 yr,1 yr,"$70,000","$70,000",--,--
ViacomCBS,"New York, NY",Employee as of 11/19/2022,Hybrid,1 yrs,2 yrs,"$117,800","$107,100",--,"$10,700"
Applied Materials,"San Jose, CA",Offer from 11/19/2022,Office,0 yrs,17 yrs,"$150,000","$150,000",--,--
Intuit,"Atlanta, GA",Employee as of 11/19/2022,Remote,1 yrs,5 yrs,"$182,901","$98,175","$70,000","$14,726"
McKinsey,"New York, NY",Employee as of 11/19/2022,Office,1 yr,1 yr,"$130,000","$100,000","$15,000","$15,000"
ATSG,"Wilmington, OH",Employee as of 11/19/2022,Office,6 yrs,6 yrs,"$80,000","$80,000",--,--
Amazon,"Arlington, VA",Employee as of 11/19/2022,Remote,1 yrs,11 yrs,"$207,000","$152,000","$15,000","$40,000"
NC DHHS,"Raleigh, NC",Employee as of 11/19/2022,Remote,1 yr,1 yr,"$112,000","$112,000",--,--
Synechron,"Piscataway, NJ",Employee as of 11/18/2022,Hybrid,6 yrs,6 yrs,"$80,000","$80,000",--,--
Starbucks,"New York, NY",Employee as of 11/18/2022,Office,3 yrs,7 yrs,"$100,000","$100,000",--,--
Lowe's,"Charlotte, NC",Employee as of 11/18/2022,Remote,1 yrs,3 yrs,"$94,000","$84,000",--,"$10,000"
KPMG,"Boston, MA",Employee as of 11/18/2022,Remote,3 yrs,3 yrs,"$145,000","$145,000",--,--
Eastern Kentucky University,"Richmond, KY",Employee as of 11/18/2022,Office,2 yrs,4 yrs,"$40,000","$40,000",--,--
Fetch,"Boston, MA",Employee as of 11/18/2022,Office,1 yrs,3 yrs,"$100,000","$100,000",--,--
General Mills,"Minneapolis, MN",Employee as of 11/18/2022,Office,1 yr,1 yr,"$98,000","$90,000",--,"$8,000"
ZS,"San Francisco, CA",Employee as of 11/18/2022,Office,3 yrs,4 yrs,"$120,000","$120,000",--,--
The Ohio State University,"Columbus, OH",Employee as of 11/17/2022,Remote,3 yrs,4 yrs,"$68,500","$68,500",--,--
NYC Health + Hospitals,"New York, NY",Employee as of 11/17/2022,Office,3 yrs,5 yrs,"$100,000","$100,000",--,--
UBS,"New York, NY",Offer from 11/17/2022,Office,0 yrs,3 yrs,"$125,000","$125,000",--,--
EXL,"New York, NY",Employee as of 11/17/2022,Office,3 yrs,3 yrs,"$100,000","$100,000",--,--
Veritiv,"Atlanta, GA",Employee as of 11/17/2022,Office,3 yrs,3 yrs,"$91,000","$91,000",--,--
The Home Depot,"Atlanta, GA",Employee as of 11/17/2022,Remote,2 yrs,2 yrs,"$76,000","$76,000",--,--
Kforce,"Chicago, IL",Employee as of 11/17/2022,Hybrid,3 yrs,8 yrs,"$137,280","$137,280",--,--
Uber,"San Francisco, CA",Employee as of 11/17/2022,Office,0 yrs,2 yrs,"$116,000","$99,000","$7,000","$10,000"
UBS,"New York, NY",Employee as of 11/17/2022,Office,2-4 yrs,11+ yrs,"$170,000","$170,000",--,--
Wayfair,"Boston, MA",Employee as of 11/17/2022,Office,2 yrs,7 yrs,"$115,000","$111,000","$4,000",--
Micro Focus,"Santa Clara, CA",Employee as of 11/16/2022,Remote,3 yrs,6 yrs,"$125,000","$125,000",--,--
CBRE,"Orlando, FL",Employee as of 11/16/2022,Hybrid,0-1 yrs,5-10 yrs,"$107,800","$98,000",--,"$9,800"
State Farm,"Bloomington, IL",Employee as of 11/16/2022,Hybrid,2 yrs,2 yrs,"$78,000","$78,000",--,--
